model,data,fraction,roc,ap
OCSVM,satimage-2,0.8400000000000001,0.9966,0.9661
OCSVM,satimage-2,0.85,0.9966,0.9661
OCSVM,satimage-2,0.86,0.9966,0.9661
OCSVM,satimage-2,0.87,0.9966,0.9661
OCSVM,satimage-2,0.88,0.9966,0.9661
OCSVM,satimage-2,0.89,0.9966,0.9661
OCSVM,satimage-2,0.9,0.9966,0.9661
OCSVM,satimage-2,0.91,0.9966,0.9661
OCSVM,satimage-2,0.92,0.9966,0.9661
OCSVM,satimage-2,0.93,0.9966,0.9661
OCSVM,satimage-2,0.9400000000000001,0.9966,0.9661
OCSVM,satimage-2,0.9500000000000001,0.9966,0.9661
OCSVM,satimage-2,0.9600000000000001,0.9966,0.9661
OCSVM,satimage-2,0.97,0.9966,0.9661
OCSVM,satimage-2,0.98,0.9966,0.9661
OCSVM,satimage-2,0.99,0.9966,0.9661
OCSVM,satimage-2,1.0,0.9966,0.9661
